Route: Ceyhan_Gudrun_Greece, Total Cost: 8079500
Route: Ceyhan_Gudrun_Poland, Total Cost: 8859500
Route: Ceyhan_Gudrun_Spain, Total Cost: 8439500
Route: Ceyhan_Gudrun_UK, Total Cost: 8679500
Route: Ceyhan_Ingeborg_Greece, Total Cost: 8088500
Route: Ceyhan_Ingeborg_Poland, Total Cost: 8868500
Route: Ceyhan_Ingeborg_Spain, Total Cost: 8448500
Route: Ceyhan_Ingeborg_UK, Total Cost: 8688500
Route: Ceyhan_Valborg_Greece, Total Cost: 8086500
Route: Ceyhan_Valborg_Poland, Total Cost: 8866500
Route: Ceyhan_Valborg_Spain, Total Cost: 8446500
Route: Ceyhan_Valborg_UK, Total Cost: 8686500
Route: Ceyhan_Estrid_Greece, Total Cost: 8081500
Route: Ceyhan_Estrid_Poland, Total Cost: 8861500
Route: Ceyhan_Estrid_Spain, Total Cost: 8441500
Route: Ceyhan_Estrid_UK, Total Cost: 8681500
Route: Ceyhan_Rose_Greece, Total Cost: 8080500
Route: Ceyhan_Rose_Poland, Total Cost: 8860500
Route: Ceyhan_Rose_Spain, Total Cost: 8440500
Route: Ceyhan_Rose_UK, Total Cost: 8680500
Route: Ceyhan_Cork Cat_Greece, Total Cost: 8089500
Route: Ceyhan_Cork Cat_Poland, Total Cost: 8869500
Route: Ceyhan_Cork Cat_Spain, Total Cost: 8449500
Route: Ceyhan_Cork Cat_UK, Total Cost: 8689500
Route: Ceyhan_Guam_Greece, Total Cost: 8087500
Route: Ceyhan_Guam_Poland, Total Cost: 8867500
Route: Ceyhan_Guam_Spain, Total Cost: 8447500
Route: Ceyhan_Guam_UK, Total Cost: 8687500
Route: Ceyhan_Chance_Greece, Total Cost: 8082500
Route: Ceyhan_Chance_Poland, Total Cost: 8862500
Route: Ceyhan_Chance_Spain, Total Cost: 8442500
Route: Ceyhan_Chance_UK, Total Cost: 8682500
Route: Houma_Ismine_Greece, Total Cost: 8059000
Route: Houma_Ismine_Poland, Total Cost: 7927000
Route: Houma_Ismine_Spain, Total Cost: 7795000
Route: Houma_Ismine_UK, Total Cost: 7729000
Route: Houma_Signe_Greece, Total Cost: 8061000
Route: Houma_Signe_Poland, Total Cost: 7929000
Route: Houma_Signe_Spain, Total Cost: 7797000
